raceId,driverId,stop,pit_lap,year,round,circuit_name,race_position,lap_time_ms,constructorId,grid_position,constructor_name,driver_champ_points,constructor_champ_points,personal_best_ms,lap_time_delta,prev_pit_lap,laps_since_last_pit,max_lap,laps_remaining,driverId_ahead,approx_gap_ahead,driverId_behind,approx_gap_behind,tyre_deg_slope_ms_per_lap,rival_ahead_just_pitted,rival_behind_just_pitted,strategy
975,840,1,25,2017,7,Circuit Gilles Villeneuve,16,95339,3,17,Williams,0.0,20.0,75979,19360,0,25,70,45,828.0,2.24,836.0,0.977,3331.200000000004,0,0,Overcut
970,4,1,2,2017,2,Shanghai International Circuit,8,145244,1,13,McLaren,0.0,0.0,99496,45748,0,2,56,54,826.0,2.268,13.0,2.796,5000.0,0,0,Emergency
910,20,1,9,2014,11,Hungaroring,3,137406,9,2,Red Bull,82.0,188.0,88746,48660,0,9,70,61,822.0,0.276,4.0,0.575,5000.0,0,0,Undercut
1144,859,1,23,2024,24,Yas Marina Circuit,9,94497,215,12,RB F1 Team,4.0,46.0,88751,5746,0,23,58,35,807.0,1.043,4.0,5.878,764.3999999999937,0,0,Standard
961,828,1,23,2016,14,Autodromo Nazionale di Monza,15,95061,15,19,Sauber,0.0,0.0,88552,6509,0,23,53,30,18.0,1.497,836.0,6.801,965.1999999999971,0,0,Standard
1110,817,1,5,2023,12,Circuit de Spa-Francorchamps,19,119336,213,19,AlphaTauri,0.0,2.0,110994,8342,0,5,44,39,825.0,0.651,,15.0,-1087.3000000000025,0,0,Undercut
1078,839,1,41,2022,5,Miami International Autodrome,8,122285,214,20,Alpine F1 Team,20.0,22.0,93163,29122,0,41,57,16,847.0,15.0,4.0,1.259,5000.0,1,0,Emergency
930,154,1,15,2015,5,Circuit de Barcelona-Catalunya,6,97243,208,11,Lotus F1,12.0,12.0,91945,5298,0,15,66,51,1.0,15.0,13.0,0.147,367.9000000000078,1,1,Standard
942,154,2,9,2015,16,Circuit of the Americas,15,121697,208,10,Lotus F1,44.0,66.0,119612,2085,1,8,56,47,813.0,15.0,4.0,3.493,-4824.90000000001,0,0,Standard
1108,855,1,24,2023,10,Silverstone Circuit,15,93170,51,17,Alfa Romeo,4.0,9.0,91769,1401,0,24,52,28,856.0,2.68,822.0,2.293,-103.00000000000112,0,0,Standard
959,830,3,45,2016,12,Hockenheimring,3,84054,9,4,Red Bull,100.0,223.0,78910,5144,28,17,67,22,817.0,6.379,20.0,4.703,746.7999999999922,0,0,Standard
1139,822,1,15,2024,19,Circuit of the Americas,15,102714,15,16,Sauber,0.0,0.0,100575,2139,0,15,56,41,861.0,1.758,839.0,0.73,100.80000000000103,0,0,Standard
1115,852,2,22,2023,17,Losail International Circuit,12,93639,213,11,AlphaTauri,3.0,5.0,87174,6465,9,13,57,35,858.0,0.27,855.0,1.197,753.2000000000019,0,0,Undercut
1029,825,1,27,2019,20,Autódromo José Carlos Pace,18,79824,210,9,Haas F1 Team,20.0,28.0,73262,6562,0,27,71,44,826.0,2.495,847.0,15.0,873.5999999999959,0,0,Standard
901,817,5,44,2014,2,Sepang International Circuit,16,110765,9,5,Red Bull,0.0,0.0,104675,6090,42,2,56,12,820.0,1.328,,15.0,-5000.0,0,0,Standard
993,1,1,25,2018,5,Circuit de Barcelona-Catalunya,1,84565,131,1,Mercedes,70.0,110.0,79133,5432,0,25,66,41,,15.0,830.0,15.0,762.9000000000034,0,0,Standard
1030,20,2,38,2019,21,Yas Marina Circuit,6,105352,6,4,Ferrari,230.0,479.0,100128,5224,12,26,55,17,822.0,0.082,826.0,15.0,388.4,0,0,Undercut
1069,4,1,7,2021,17,Circuit of the Americas,15,104494,214,19,Alpine F1 Team,58.0,104.0,100067,4427,0,7,56,49,20.0,0.516,840.0,2.073,-405.3000000000098,0,0,Undercut
1037,846,1,11,2020,7,Circuit de Spa-Francorchamps,10,153578,1,10,McLaren,39.0,62.0,108552,45026,0,11,44,33,815.0,6.65,826.0,4.746,5000.0,0,0,Standard
970,825,1,2,2017,2,Shanghai International Circuit,11,147371,210,12,Haas F1 Team,0.0,0.0,97528,49843,0,2,56,54,815.0,1.0,828.0,1.017,5000.0,0,0,Emergency
997,20,1,15,2018,9,Red Bull Ring,5,89122,6,6,Ferrari,131.0,214.0,67082,22040,0,15,71,56,817.0,2.392,154.0,11.498,3881.900000000004,0,0,Emergency
962,839,1,1,2016,15,Marina Bay Street Circuit,17,187275,209,21,Manor Marussia,0.0,1.0,111748,75527,0,1,61,60,836.0,0.955,831.0,1.612,0.0,0,0,Undercut
1105,815,1,27,2023,7,Circuit de Barcelona-Catalunya,4,85177,9,11,Red Bull,105.0,249.0,76666,8511,0,27,66,39,1.0,1.01,840.0,7.748,938.9999999999992,0,0,Standard
1086,817,1,15,2022,13,Hungaroring,11,90229,1,9,McLaren,19.0,89.0,83590,6639,0,15,70,55,822.0,1.248,855.0,0.899,1082.8000000000002,0,0,Standard
902,13,2,28,2014,3,Bahrain International Circuit,5,106906,3,7,Williams,6.0,20.0,99272,7634,13,15,57,29,807.0,3.533,18.0,0.054,960.800000000001,0,0,Standard
936,831,2,32,2015,10,Hungaroring,15,92743,15,18,Sauber,16.0,21.0,88268,4475,14,18,69,37,828.0,4.731,815.0,14.204,708.8999999999907,0,1,Standard
1075,840,1,13,2022,2,Jeddah Corniche Circuit,15,101859,117,13,Aston Martin,0.0,0.0,94446,7413,0,13,50,37,807.0,5.36,849.0,2.89,826.2000000000024,0,0,Standard
1056,832,1,32,2021,5,Circuit de Monaco,3,93980,6,4,Ferrari,20.0,60.0,74621,19359,0,32,78,46,815.0,5.853,846.0,6.933,3591.8999999999887,0,1,Standard
1053,844,2,33,2021,2,Autodromo Enzo e Dino Ferrari,2,131844,6,4,Ferrari,8.0,12.0,78379,53465,28,5,63,30,830.0,15.0,846.0,15.0,5000.0,0,0,Standard
1071,842,4,51,2021,19,Autódromo José Carlos Pace,7,78440,213,7,AlphaTauri,86.0,106.0,73227,5213,25,26,71,20,832.0,10.583,839.0,10.219,759.1999999999964,0,0,Standard
1082,848,1,18,2022,9,Circuit Gilles Villeneuve,17,96605,3,12,Williams,3.0,3.0,77951,18654,0,18,70,52,842.0,4.635,825.0,2.337,3541.5999999999976,0,0,Standard
999,844,3,46,2018,11,Hockenheimring,16,93091,15,9,Sauber,13.0,16.0,77852,15239,43,3,67,21,845.0,15.0,4.0,6.999,-4392.500000000046,0,0,Standard
932,822,1,28,2015,7,Circuit Gilles Villeneuve,3,97332,3,4,Williams,42.0,81.0,77922,19410,0,28,70,42,3.0,15.0,8.0,3.738,3681.899999999998,0,1,Standard
